,country,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20
0,china,28.0,30.0,36.0,39.0,49.0,58.0,101.0,120.0,135.0,214.0,275.0,463.0,614.0,843.0,1115.0,1477.0,1999.0,2596.0,3219.0,3918.0,4636.0,5082.0,6217.0,7977.0,9298.0,10755.0,12462.0,14206.0,15962.0,18014.0,18704.0,22699.0,23187.0,25015.0,27676.0,30084.0,32930.0,36329.0,39320.0,42162.0,44854.0,47450.0,50001.0,52292.0,53944.0,55539.0,57388.0,58804.0,60181.0,61644.0,62901.0,64196.0,65660.0,67017.0,67910.0,68798.0,69755.0,70535.0,71266.0,71857.0,72362.0,72814.0,73280.0,73773.0,74181.0,74720.0,75100.0,75582.0,75923.0,76206.0,76405.0,76565.0,76760.0,76946.0,77207.0,77310.0,77410.0,77567.0,77679.0,77791.0,77877.0,77956.0,78039.0,78200.0,78311.0,78401.0,77552.0,77614.0,77690.0,77745.0,77799.0,77861.0,77983.0,78109.0,78175.0,78277.0,78374.0,78422.0,78474.0,78523.0,78573.0,78586.0,78684.0,78792.0,78870.0,78929.0,78977.0,78993.0,79127.0,79167.0,79198.0,79222.0,79246.0,79261.0,79281.0,79293.0,79306.0,79310.0,79310.0,79310.0,79310.0,79332.0,79335.0,79343.0,79352.0,79358.0,79367.0,79371.0,79382.0,79386.0,79389.0,79398.0,79400.0,79404.0,79415.0,79420.0,79424.0,79434.0,79444.0,79451.0,79456.0,79464.0,79472.0,79475.0,79482.0,79489.0,79493.0,79510.0,79515.0,79515.0,79534.0,79535.0,79547.0,79555.0,79562.0,79572.0,79580.0,79591.0,79609.0,79619.0,79632.0,79650.0,79665.0,79680.0,79706.0,79718.0,79725.0,79754.0,79802.0,79802.0,79802.0,79876.0,79907.0,79907.0,79967.0,80005.0,80038.0,80064.0,80092.0,80137.0,80162.0,80204.0,80244.0,80297.0,80341.0,80409.0,80459.0,80466.0,80517.0,80594.0,80680.0,80787.0,80907.0,81018.0,0.0
1,italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,45.0,46.0,46.0,83.0,149.0,160.0,276.0,414.0,523.0,589.0,622.0,724.0,724.0,1045.0,1045.0,1439.0,1966.0,2335.0,2749.0,2941.0,4025.0,4440.0,4440.0,6072.0,7024.0,7024.0,8326.0,9362.0,10361.0,10950.0,12384.0,13030.0,14620.0,15729.0,16847.0,18278.0,19758.0,20996.0,21815.0,22837.0,24392.0,26491.0,28470.0,30455.0,32534.0,34211.0,35435.0,37130.0,38092.0,40164.0,42727.0,44927.0,47055.0,48877.0,51600.0,54543.0,57576.0,60498.0,63120.0,64928.0,66624.0,68941.0,71252.0,75945.0,78249.0,79914.0,81654.0,82879.0,85231.0,93245.0,96276.0,99023.0,103031.0,105186.0,106587.0,109039.0,112541.0,115288.0,120205.0,122810.0,125176.0,127326.0,129401.0,132282.0,134560.0,136720.0,138840.0,140479.0,141981.0,144658.0,147101.0,150604.0,152844.0,155633.0,157507.0,158355.0,160092.0,160938.0,161895.0,163781.0,165078.0,165837.0,166584.0,168646.0,169939.0,171338.0,173085.0,174865.0,176370.0,177010.0,178526.0,179455.0,180544.0,181907.0,182453.0,182893.0,183426.0,184585.0,186111.0,186725.0,187615.0,188584.0,188891.0,189196.0,190248.0,190717.0,191083.0,191467.0,191944.0,192108.0,192241.0,192815.0,193640.0,193978.0,194273.0,194579.0,194928.0,195106.0,195441.0,196016.0,196246.0,196483.0,196806.0,196949.0,197162.0,197431.0,197628.0,197842.0,198192.0,198320.0,198446.0,198593.0,198756.0,199031.0,199796.0,199974.0,200229.0,200460.0,0.0
2,us,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,12.0,12.0,12.0,12.0,17.0,17.0,105.0,121.0,147.0,176.0,178.0,178.0,348.0,361.0,681.0,869.0,1072.0,2665.0,5644.0,7024.0,8474.0,9001.0,9707.0,14652.0,17448.0,19581.0,21763.0,23559.0,25410.0,28790.0,31270.0,32988.0,43482.0,47763.0,52096.0,54703.0,58545.0,64840.0,70337.0,72329.0,75204.0,77366.0,80203.0,99079.0,100372.0,106988.0,111424.0,115936.0,120720.0,153947.0,164015.0,175382.0,180152.0,187180.0,189791.0,189910.0,195036.0,198993.0,212534.0,216169.0,232733.0,230287.0,243430.0,246414.0,250747.0,268376.0,272265.0,283178.0,289392.0,294312.0,298418.0,350135.0,361239.0,366736.0,379157.0,384902.0,391508.0,399991.0,406446.0,416461.0,444758.0,458231.0,463868.0,479258.0,485002.0,491706.0,500849.0,506367.0,518522.0,524855.0,533504.0,540292.0,547386.0,556606.0,561816.0,576334.0,583503.0,592191.0,599115.0,606715.0,617460.0,622133.0,640198.0,647548.0,656161.0,663562.0,670809.0,679308.0,685164.0,705203.0,720631.0,729994.0,781970.0,790404.0,894325.0,906763.0,924148.0,936476.0,953462.0,969111.0,983185.0,995576.0,1006326.0,1031939.0,1049098.0,1075882.0,1090645.0,1107204.0,1122720.0,1131121.0,1160087.0,1182018.0,1210849.0,1233269.0,1261624.0,1279414.0,1297863.0,1325804.0,1355363.0,1389425.0,1414155.0,1438160.0,1461885.0,1468689.0,0.0
3,spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,30.0,30.0,32.0,32.0,183.0,183.0,193.0,517.0,517.0,530.0,1028.0,1081.0,1107.0,1588.0,2125.0,2575.0,2575.0,3794.0,5367.0,7015.0,9357.0,12285.0,14709.0,16780.0,19259.0,22647.0,26743.0,30513.0,34219.0,38080.0,40437.0,43208.0,48021.0,52165.0,55668.0,59109.0,62391.0,64727.0,67504.0,70853.0,74797.0,74797.0,74797.0,77357.0,80587.0,82514.0,85915.0,89250.0,92355.0,95708.0,98372.0,100875.0,102548.0,108947.0,112050.0,112050.0,117248.0,118902.0,121343.0,123486.0,126002.0,128511.0,131148.0,133952.0,136166.0,137139.0,138980.0,140823.0,143374.0,144783.0,146446.0,146446.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,150376.0,0.0
4,france,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,2206.0,2206.0,3250.0,3907.0,4955.0,5707.0,5724.0,7226.0,7964.0,9513.0,11053.0,12548.0,14135.0,15572.0,16349.0,17428.0,19523.0,21452.0,23413.0,25195.0,26663.0,27469.0,28001.0,28805.0,30955.0,32812.0,34420.0,35983.0,36578.0,37409.0,39181.0,40657.0,42088.0,43493.0,44594.0,44903.0,45513.0,46886.0,48228.0,49476.0,50212.0,50663.0,50885.0,51476.0,52842.0,54079.0,55191.0,55892.0,56148.0,56327.0,56835.0,57898.0,58786.0,59719.0,60562.0,60562.0,61327.0,61843.0,62678.0,63472.0,63976.0,64327.0,64665.0,64735.0,65317.0,65997.0,66702.0,67309.0,67921.0,68386.0,68473.0,68558.0,68930.0,69573.0,70094.0,70622.0,70924.0,70961.0,71182.0,71626.0,71952.0,72269.0,72695.0,72931.0,72982.0,73168.0,73459.0,73791.0,74011.0,74241.0,74436.0,74496.0,74736.0,74995.0,75251.0,75475.0,75773.0,75773.0,75774.0,76124.0,76399.0,76674.0,76927.0,77185.0,77185.0,77185.0,77444.0,77780.0,77780.0,78295.0,78513.0,78513.0,78513.0,78722.0,78722.0,78945.0,79161.0,79371.0,79371.0,79371.0,79668.0,79861.0,80084.0,80600.0,80943.0,80945.0,80945.0,81212.0,81441.0,81443.0,81632.0,81764.0,81764.0,81764.0,0.0
5,germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,25.0,25.0,46.0,46.0,46.0,67.0,67.0,105.0,113.0,180.0,233.0,266.0,266.0,3243.0,3547.0,5673.0,6658.0,8481.0,9211.0,13500.0,16100.0,18700.0,22440.0,24575.0,26400.0,28700.0,28700.0,36081.0,46300.0,52407.0,53913.0,57400.0,60300.0,64300.0,68200.0,72600.0,77000.0,83114.0,85400.0,88000.0,91500.0,95200.0,99400.0,103300.0,109800.0,109800.0,112000.0,114500.0,117400.0,120400.0,123500.0,126900.0,129000.0,130600.0,132700.0,135100.0,139900.0,141700.0,141700.0,143300.0,144400.0,145617.0,147200.0,148700.0,150300.0,151597.0,152600.0,154011.0,155041.0,155681.0,156966.0,158087.0,159064.0,159716.0,160281.0,161199.0,161967.0,162820.0,163360.0,164245.0,164908.0,165352.0,165632.0,166609.0,167453.0,167909.0,168480.0,168958.0,169224.0,169556.0,170129.0,170630.0,170961.0,171535.0,171970.0,172089.0,172692.0,172842.0,173599.0,173847.0,173972.0,174609.0,174740.0,175143.0,175825.0,176422.0,176764.0,177149.0,177518.0,177657.0,177770.0,178100.0,179100.0,179800.0,180300.0,181000.0,181719.0,182160.0,182661.0,183153.0,183728.0,184028.0,184266.0,184414.0,185100.0,185100.0,186000.0,186400.0,186900.0,187200.0,187400.0,188070.0,188221.0,188628.0,189140.0,189696.0,189919.0,190055.0,190314.0,190711.0,191279.0,191551.0,191992.0,192636.0,192908.0,0.0
6,uk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,21.0,53.0,67.0,67.0,67.0,67.0,67.0,67.0,140.0,140.0,150.0,151.0,151.0,151.0,171.0,179.0,179.0,192.0,208.0,215.0,229.0,287.0,325.0,345.0,359.0,588.0,622.0,626.0,304.0,323.0,368.0,375.0,394.0,414.0,436.0,446.0,638.0,683.0,712.0,724.0,774.0,778.0,807.0,813.0,857.0,859.0,892.0,896.0,901.0,910.0,926.0,934.0,970.0,997.0,1001.0,1002.0,1015.0,1023.0,1032.0,1043.0,1047.0,1058.0,1058.0,1090.0,1099.0,1116.0,1134.0,1142.0,1149.0,1151.0,1161.0,1161.0,1166.0,1167.0,1172.0,1187.0,1190.0,1221.0,1224.0,1212.0,1219.0,1228.0,1230.0,1239.0,1255.0,1257.0,1269.0,1278.0,1282.0,1283.0,1283.0,1284.0,1293.0,1304.0,1313.0,1319.0,1319.0,1319.0,1322.0,1330.0,1345.0,1361.0,1363.0,1364.0,1364.0,1368.0,1370.0,1372.0,1373.0,1375.0,1375.0,1375.0,1375.0,1375.0,1378.0,1378.0,1378.0,1378.0,1378.0,1384.0,1385.0,1386.0,1403.0,1403.0,1413.0,1413.0,1413.0,1414.0,1416.0,1425.0,1425.0,1427.0,1434.0,1437.0,1438.0,1438.0,1438.0,1439.0,1441.0,1444.0,0.0
7,russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,12.0,16.0,16.0,22.0,29.0,38.0,45.0,49.0,64.0,66.0,121.0,190.0,235.0,281.0,333.0,355.0,406.0,494.0,580.0,698.0,795.0,1045.0,1291.0,1470.0,1694.0,1986.0,2304.0,2590.0,3057.0,3291.0,3446.0,3873.0,4420.0,4891.0,5568.0,6250.0,6767.0,7346.0,8456.0,10286.0,11619.0,13220.0,15013.0,16639.0,18095.0,19865.0,21327.0,23803.0,26608.0,31916.0,34306.0,39801.0,43512.0,48003.0,53530.0,58226.0,63166.0,67373.0,70209.0,76130.0,85392.0,92681.0,99825.0,107936.0,113299.0,118798.0,131129.0,142208.0,150993.0,159257.0,167469.0,171883.0,175514.0,186602.0,195559.0,204197.0,212237.0,220935.0,226272.0,230226.0,241917.0,252295.0,260649.0,268862.0,274128.0,279536.0,284021.0,293780.0,303800.0,313409.0,323851.0,334024.0,339142.0,343847.0,355847.0,368222.0,374557.0,383524.0,392703.0,398436.0,402778.0,411973.0,422235.0,428276.0,437155.0,446127.0,449995.0,453570.0,463103.0,471718.0,480494.0,488234.0,496594.0,500208.0,503168.0,511958.0,522375.0,530801.0,538467.0,545909.0,549387.0,552644.0,561397.0,571049.0,579295.0,587728.0,596064.0,599172.0,602249.0,611109.0,619204.0,628482.0,637217.0,645316.0,648961.0,0.0
8,brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0,120.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,173.0,173.0,173.0,173.0,173.0,3046.0,14026.0,14026.0,14026.0,14026.0,22130.0,22130.0,22991.0,25318.0,26573.0,27655.0,29160.0,30152.0,31142.0,32544.0,34132.0,35935.0,38039.0,40937.0,42991.0,45815.0,48221.0,51370.0,55350.0,59297.0,61685.0,64957.0,67384.0,72597.0,78424.0,79479.0,84970.0,89672.0,94122.0,100459.0,106794.0,116683.0,125960.0,135430.0,142587.0,149911.0,153833.0,158593.0,166647.0,177604.0,189476.0,200892.0,206555.0,211080.0,223638.0,238617.0,254963.0,266940.0,277149.0,283952.0,378257.0,396737.0,413916.0,429965.0,445123.0,459436.0,469141.0,477709.0,490005.0,521046.0,534580.0,551631.0,576779.0,588118.0,601736.0,627963.0,660469.0,679524.0,702399.0,727715.0,746018.0,757811.0,788318.0,817642.0,957692.0,984615.0,990731.0,1029045.0,1062542.0,1107012.0,1139844.0,1171447.0,1217361.0,1244088.0,1264843.0,1291251.0,1323425.0,1350098.0,1397531.0,1428520.0,1447408.0,1459072.0,1514300.0,1555339.0,1591975.0,1620313.0,1693214.0,1785359.0,1812913.0,1846641.0,1868749.0,1922802.0,1956807.0,2008854.0,2037982.0,2062876.0,0.0
9,india,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,13.0,13.0,14.0,14.0,15.0,20.0,23.0,27.0,27.0,40.0,43.0,45.0,73.0,84.0,95.0,102.0,123.0,148.0,191.0,192.0,229.0,229.0,375.0,421.0,506.0,620.0,774.0,969.0,1080.0,1181.0,1359.0,1432.0,1768.0,2041.0,2463.0,2854.0,3273.0,3975.0,4370.0,5012.0,5498.0,5939.0,6523.0,7137.0,7747.0,8437.0,9068.0,10007.0,10819.0,11775.0,12847.0,14142.0,15331.0,16776.0,17887.0,19301.0,20969.0,22549.0,24420.0,26400.0,27969.0,30258.0,34224.0,36795.0,39233.0,42309.0,45422.0,48553.0,51824.0,54385.0,57692.0,60706.0,64277.0,67749.0,70920.0,82627.0,86936.0,91852.0,95754.0,100285.0,104071.0,108450.0,113233.0,118695.0,123848.0,129095.0,134670.0,135206.0,147195.0,154330.0,162379.0,169798.0,180013.0,186935.0,194325.0,204711.0,213831.0,227728.0,237196.0,248190.0,258685.0,271697.0,285637.0,295881.0,309713.0,321723.0,334822.0,347912.0,359860.0,379892.0,394227.0,409083.0,424433.0,439934.0,456831.0,476378.0,495513.0,515386.0,534618.0,553471.0,571460.0,592032.0,612768.0,635757.0,653751.0,677423.0,700087.0,724578.0,753050.0,782607.0,817209.0,849432.0,885573.0,917568.0,951166.0,988029.0,1019735.0,1055348.0,1094374.0,1145629.0,1186203.0,0.0
